entry_ts,exit_ts,entry,exit,pnl,reason,hit_tp1,hit_tp2,hit_tp3,day,side,strike,moneyness,expiry,contract,mode
2025-06-23 09:00:00,2025-06-23 10:00:00,79.88162311355154,61.88162311355154,-18.0,SL,False,False,False,2025-06-23,PE,24800,ITM,2025-06-26,2025-06-26_PE_24800,runners
2025-06-23 15:00:00,2025-06-24 09:00:00,50.41213701502784,32.41213701502784,-18.0,SL,False,False,False,2025-06-23,PE,24800,ITM,2025-06-26,2025-06-26_PE_24800,runners
2025-06-24 14:00:00,2025-06-25 09:00:00,21.540298423466083,3.5402984234660835,-18.0,SL,False,False,False,2025-06-24,PE,24800,ITM,2025-06-26,2025-06-26_PE_24800,runners
2025-06-05 09:00:00,2025-06-05 10:00:00,365.526065618189,347.526065618189,-18.0,SL,False,False,False,2025-06-05,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-06-05 15:00:00,2025-06-06 09:00:00,328.6991985331297,310.6991985331297,-18.0,SL,False,False,False,2025-06-05,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-06-10 13:00:00,2025-06-10 14:00:00,156.9517117162368,138.9517117162368,-18.0,SL,False,False,False,2025-06-10,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-06-16 13:00:00,2025-06-16 14:00:00,166.54133719631318,201.54133719631318,35.0,TP3,True,True,True,2025-06-16,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-06-23 09:00:00,2025-06-23 10:00:00,93.9762195506446,75.9762195506446,-18.0,SL,False,False,False,2025-06-23,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-06-23 15:00:00,2025-06-24 09:00:00,62.418806149250486,44.418806149250486,-18.0,SL,False,False,False,2025-06-23,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-06-24 14:00:00,2025-06-25 09:00:00,29.787756776868264,11.787756776868264,-18.0,SL,False,False,False,2025-06-24,PE,24850,ITM,2025-06-26,2025-06-26_PE_24850,runners
2025-07-15 14:00:00,2025-07-15 15:00:00,243.5787659986472,278.5787659986472,35.0,TP3,True,True,True,2025-07-15,PE,25350,OTM,2025-07-31,2025-07-31_PE_25350,runners
2025-07-22 09:00:00,2025-07-22 10:00:00,231.7547453444986,266.7547453444986,35.0,TP3,True,True,True,2025-07-22,PE,25350,OTM,2025-07-31,2025-07-31_PE_25350,runners
2025-07-23 09:00:00,2025-07-23 10:00:00,233.90556817608012,215.90556817608012,-18.0,SL,False,False,False,2025-07-23,PE,25350,OTM,2025-07-31,2025-07-31_PE_25350,runners
2025-07-23 15:00:00,2025-07-24 09:00:00,176.4706917171461,211.4706917171461,35.0,TP3,True,True,True,2025-07-23,PE,25350,OTM,2025-07-31,2025-07-31_PE_25350,runners
2025-07-15 14:00:00,2025-07-15 15:00:00,274.3940788836753,309.3940788836753,35.0,TP3,True,True,True,2025-07-15,PE,25400,OTM,2025-07-31,2025-07-31_PE_25400,runners
2025-07-22 09:00:00,2025-07-22 10:00:00,266.3419163466788,301.3419163466788,35.0,TP3,True,True,True,2025-07-22,PE,25400,OTM,2025-07-31,2025-07-31_PE_25400,runners
2025-07-23 09:00:00,2025-07-23 10:00:00,270.6695950225003,252.6695950225003,-18.0,SL,False,False,False,2025-07-23,PE,25400,OTM,2025-07-31,2025-07-31_PE_25400,runners
2025-07-23 15:00:00,2025-07-24 09:00:00,209.8043441857444,244.8043441857444,35.0,TP3,True,True,True,2025-07-23,PE,25400,OTM,2025-07-31,2025-07-31_PE_25400,runners
2025-07-15 14:00:00,2025-07-15 15:00:00,303.2842237201603,338.2842237201603,35.0,TP3,True,True,True,2025-07-15,PE,25450,ATM,2025-07-31,2025-07-31_PE_25450,runners
2025-07-22 09:00:00,2025-07-22 10:00:00,303.82416983018993,338.82416983018993,35.0,TP3,True,True,True,2025-07-22,PE,25450,ATM,2025-07-31,2025-07-31_PE_25450,runners
2025-07-23 09:00:00,2025-07-23 10:00:00,310.1351360706394,292.1351360706394,-18.0,SL,False,False,False,2025-07-23,PE,25450,ATM,2025-07-31,2025-07-31_PE_25450,runners
2025-07-23 15:00:00,2025-07-24 09:00:00,246.3602524802518,281.3602524802518,35.0,TP3,True,True,True,2025-07-23,PE,25450,ATM,2025-07-31,2025-07-31_PE_25450,runners
2025-07-22 09:00:00,2025-07-22 10:00:00,345.6181181747088,380.6181181747088,35.0,TP3,True,True,True,2025-07-22,PE,25500,ITM,2025-07-31,2025-07-31_PE_25500,runners
2025-07-23 09:00:00,2025-07-23 10:00:00,351.3993258027731,333.3993258027731,-18.0,SL,False,False,False,2025-07-23,PE,25500,ITM,2025-07-31,2025-07-31_PE_25500,runners
2025-07-23 15:00:00,2025-07-24 09:00:00,285.20275359345396,320.20275359345396,35.0,TP3,True,True,True,2025-07-23,PE,25500,ITM,2025-07-31,2025-07-31_PE_25500,runners
2025-07-22 09:00:00,2025-07-22 10:00:00,387.3628396045897,422.3628396045897,35.0,TP3,True,True,True,2025-07-22,PE,25550,ITM,2025-07-31,2025-07-31_PE_25550,runners
2025-07-23 09:00:00,2025-07-23 10:00:00,395.3089713852896,377.3089713852896,-18.0,SL,False,False,False,2025-07-23,PE,25550,ITM,2025-07-31,2025-07-31_PE_25550,runners
2025-07-23 15:00:00,2025-07-24 09:00:00,327.2128213318865,362.2128213318865,35.0,TP3,True,True,True,2025-07-23,PE,25550,ITM,2025-07-31,2025-07-31_PE_25550,runners
